site	species	year	date	individual	period	subindividual	flower	pollinaria_removed	pollen_on_stigma	herbivory	recorder	writer	notes	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	1	NA	NA	1	0	0	1	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	1	NA	NA	2	0	0	1	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	1	NA	NA	3	1	0	1	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	1	NA	NA	4	2	0	1	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	1	NA	NA	5	1	0	1	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	2	NA	NA	1	2	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	2	NA	NA	2	2	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	2	NA	NA	3	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	2	NA	NA	4	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	2	NA	NA	5	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	3	NA	NA	1	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	3	NA	NA	2	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	3	NA	NA	3	1	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	3	NA	NA	4	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	3	NA	NA	5	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	4	NA	NA	1	2	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	4	NA	NA	2	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	4	NA	NA	3	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	4	NA	NA	4	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	4	NA	NA	5	2	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	5	NA	NA	1	1	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	5	NA	NA	2	2	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	5	NA	NA	3	2	1	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	5	NA	NA	4	2	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	5	NA	NA	5	1	1	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	6	NA	NA	1	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	6	NA	NA	2	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	6	NA	NA	3	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	6	NA	NA	4	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	6	NA	NA	5	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	7	NA	NA	1	2	1	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	7	NA	NA	2	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	7	NA	NA	3	2	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	7	NA	NA	4	2	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	7	NA	NA	5	2	1	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	8	NA	NA	1	2	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	8	NA	NA	2	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	8	NA	NA	3	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	8	NA	NA	4	2	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	8	NA	NA	5	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	9	NA	NA	1	0	0	1	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	9	NA	NA	2	0	1	1	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	9	NA	NA	3	1	1	1	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	9	NA	NA	4	0	0	1	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	9	NA	NA	5	0	0	1	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	10	NA	NA	1	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	10	NA	NA	2	2	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	10	NA	NA	3	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	10	NA	NA	4	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	10	NA	NA	5	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	11	NA	NA	1	2	1	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	11	NA	NA	2	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	11	NA	NA	3	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	11	NA	NA	4	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	11	NA	NA	5	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	12	NA	NA	1	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	12	NA	NA	2	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	12	NA	NA	3	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	12	NA	NA	4	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	13	NA	NA	1	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	13	NA	NA	2	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	13	NA	NA	3	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	13	NA	NA	4	1	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	13	NA	NA	5	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	14	NA	NA	1	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	14	NA	NA	2	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	14	NA	NA	3	1	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	14	NA	NA	4	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	14	NA	NA	5	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	15	NA	NA	1	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	15	NA	NA	2	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	15	NA	NA	3	2	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	15	NA	NA	4	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	15	NA	NA	5	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	16	NA	NA	1	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	16	NA	NA	2	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	16	NA	NA	3	0	1	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	16	NA	NA	4	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	16	NA	NA	5	2	1	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	17	NA	NA	1	2	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	17	NA	NA	2	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	17	NA	NA	3	2	1	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	17	NA	NA	4	2	1	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	17	NA	NA	5	2	1	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	18	NA	NA	1	2	0	1	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	18	NA	NA	2	2	0	1	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	18	NA	NA	3	1	0	1	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	18	NA	NA	4	2	0	1	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	18	NA	NA	5	2	0	1	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	19	NA	NA	1	0	0	0	CRO	OO	inflorescense_a_bit_dry	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	19	NA	NA	2	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	19	NA	NA	3	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	19	NA	NA	4	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	19	NA	NA	5	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	20	NA	NA	1	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	20	NA	NA	2	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	20	NA	NA	3	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	20	NA	NA	4	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	20	NA	NA	5	0	0	0	CRO	OO	NA	
Oerup	Dactylorhiza_majalis	2021	25.5.2021	21	NA	NA	1	0	1	0	CRO	OO	NA	
