site	species	year	date	individual	subindividual	patch	period	height_cm	flowers_open	flowers_bud	corolla_height_mm	lip_width_mm	flower_size_mm	spur_length_mm	spur_width_mm	recorder	writer	notes	fruit_number	fruits_small	fruit_notes	Flower_damage	Spur_damage						
Oerup	Orchis_mascula	2021	20.5.2021	1	NA	A	NA	24.80	21	0	19.53	12.36	NA	15.22	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	2	NA	A	NA	24.10	17	0	11.72	8.62	NA	10.75	NA	Jule	Jule	3_aborted_flowers_flower_damage_	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	3	NA	A	NA	23.30	14	1	16.44	13.04	NA	13.61	NA	Jule	Jule	flower_damage_on_2_lowest_flowers	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	4	NA	A	NA	23.90	12	1	14.91	13.19	NA	12.23	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	5	NA	A	NA	24.00	12	1	17.76	11.08	NA	11.80	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	6	NA	A	NA	20.60	8	0	15.30	10.68	NA	10.36	NA	Jule	Jule	spur_damage	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	7	NA	A	NA	26.80	10	0	12.97	10.56	NA	12.29	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	8	NA	A	NA	17.80	2	0	15.82	9.19	NA	12.84	NA	Jule	Jule	3_aborted_flowers_flower_damage_(1)	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	9	NA	A	NA	27.00	13	0	13.66	9.27	NA	12.80	NA	Jule	Jule	1_flower_eaten	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	10	NA	A	NA	24.20	11	1	12.62	11.10	NA	11.58	NA	Jule	Jule	spur_damage	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	11	NA	A	NA	25.80	11	0	12.17	8.64	NA	13.54	NA	Jule	Jule	spur_damage	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	12	NA	A	NA	16.60	7	1	9.97	9.60	NA	11.03	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	13	NA	A	NA	14.30	7	0	14.65	9.58	NA	10.30	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	14	NA	A	NA	17.80	7	0	11.90	9.39	NA	12.67	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	15	NA	A	NA	17.10	11	0	10.83	8.25	NA	10.35	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	16	NA	A	NA	17.50	9	0	13.28	8.27	NA	12.16	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	17	NA	A	NA	20.10	13	0	16.24	11.64	NA	11.60	NA	Jule	Jule	spur_damage_lowest_flower_eaten	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	18	NA	A	NA	16.10	9	1	15.11	10.84	NA	12.49	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	19	NA	A	NA	23.30	11	0	15.66	14.00	NA	13.10	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	20	NA	A	NA	18.30	10	0	13.12	11.57	NA	11.40	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	21	NA	A	NA	18.10	9	0	15.78	10.70	NA	14.85	NA	Jule	Jule	flower_damage_on_lowest_flower	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	22	NA	A	NA	18.70	7	0	19.82	10.44	NA	12.38	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	23	NA	A	NA	12.60	4	0	16.02	10.29	NA	13.58	NA	Jule	Jule	1_aborted_flower_1_flower_eaten	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	24	NA	A	NA	21.70	12	0	16.02	10.74	NA	13.39	NA	Jule	Jule	NA	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	25	NA	A	NA	21.20	3	0	13.89	9.14	NA	13.74	NA	Jule	Jule	6_aborted_flowers_shoot_damage	NA	NA	NA	NA	NA						
Oerup	Orchis_mascula	2021	20.5.2021	26	NA	A	NA	29.00	18	0	11.40	10.12	NA	12.35	NA	Jule	Jule	5_aborted_flowers	NA	NA	NA	NA	NA						
