individual;flower;pollen_on_stigma;pollinaria_removed;pollinaria_remaining
1;1;0;2;0
1;2;1;2;0
1;3;1;1;1
1;4;0;2;0
1;5;0;1;1
1;6;0;0;2
1;7;0;0;2
1;8;NA;NA;NA
1;9;NA;NA;NA
1;10;NA;NA;NA
1;11;NA;NA;NA
1;12;NA;NA;NA
1;13;NA;NA;NA
1;14;NA;NA;NA
2;1;0;0;2
2;2;0;2;0
2;3;0;2;0
2;4;0;0;2
2;5;NA;NA;NA
2;6;NA;NA;NA
2;7;NA;NA;NA
2;8;NA;NA;NA
2;9;NA;NA;NA
2;10;NA;NA;NA
2;11;NA;NA;NA
2;12;NA;NA;NA
2;13;NA;NA;NA
2;14;NA;NA;NA
3;1;0;0;2
3;2;0;0;2
3;3;0;0;2
3;4;NA;NA;NA
3;5;NA;NA;NA
3;6;NA;NA;NA
3;7;NA;NA;NA
3;8;NA;NA;NA
3;9;NA;NA;NA
3;10;NA;NA;NA
3;11;NA;NA;NA
3;12;NA;NA;NA
3;13;NA;NA;NA
3;14;NA;NA;NA
4;1;0;0;2
4;2;0;0;2
4;3;0;0;2
4;4;NA;NA;NA
4;5;NA;NA;NA
4;6;NA;NA;NA
4;7;NA;NA;NA
4;8;NA;NA;NA
4;9;NA;NA;NA
4;10;NA;NA;NA
4;11;NA;NA;NA
4;12;NA;NA;NA
4;13;NA;NA;NA
4;14;NA;NA;NA
5;1;0;2;0
5;2;0;0;2
5;3;0;0;2
5;4;0;0;2
5;5;0;0;2
5;6;NA;NA;NA
5;7;NA;NA;NA
5;8;NA;NA;NA
5;9;NA;NA;NA
5;10;NA;NA;NA
5;11;NA;NA;NA
5;12;NA;NA;NA
5;13;NA;NA;NA
5;14;NA;NA;NA
6;1;0;2;0
6;2;1;2;0
6;3;0;2;0
6;4;0;0;2
6;5;0;0;2
6;6;NA;NA;NA
6;7;NA;NA;NA
6;8;NA;NA;NA
6;9;NA;NA;NA
6;10;NA;NA;NA
6;11;NA;NA;NA
6;12;NA;NA;NA
6;13;NA;NA;NA
6;14;NA;NA;NA
7;1;0;0;2
7;2;0;0;2
7;3;NA;NA;NA
7;4;NA;NA;NA
7;5;NA;NA;NA
7;6;NA;NA;NA
7;7;NA;NA;NA
7;8;NA;NA;NA
7;9;NA;NA;NA
7;10;NA;NA;NA
7;11;NA;NA;NA
7;12;NA;NA;NA
7;13;NA;NA;NA
7;14;NA;NA;NA
8;1;0;2;0
8;2;0;2;0
8;3;0;2;0
8;4;0;2;0
8;5;0;2;0
8;6;0;0;2
8;7;0;0;2
8;8;0;0;2
8;9;NA;NA;NA
8;10;NA;NA;NA
8;11;NA;NA;NA
8;12;NA;NA;NA
8;13;NA;NA;NA
8;14;NA;NA;NA
9;1;0;0;2
9;2;0;0;2
9;3;0;0;2
9;4;NA;NA;NA
9;5;NA;NA;NA
9;6;NA;NA;NA
9;7;NA;NA;NA
9;8;NA;NA;NA
9;9;NA;NA;NA
9;10;NA;NA;NA
9;11;NA;NA;NA
9;12;NA;NA;NA
9;13;NA;NA;NA
9;14;NA;NA;NA
10;1;0;0;2
10;2;0;0;2
10;3;0;0;2
10;4;0;0;2
10;5;0;0;2
10;6;NA;NA;NA
10;7;NA;NA;NA
10;8;NA;NA;NA
10;9;NA;NA;NA
10;10;NA;NA;NA
10;11;NA;NA;NA
10;12;NA;NA;NA
10;13;NA;NA;NA
10;14;NA;NA;NA
11;1;0;0;2
11;2;0;0;2
11;3;0;0;2
11;4;NA;NA;NA
11;5;NA;NA;NA
11;6;NA;NA;NA
11;7;NA;NA;NA
11;8;NA;NA;NA
11;9;NA;NA;NA
11;10;NA;NA;NA
11;11;NA;NA;NA
11;12;NA;NA;NA
11;13;NA;NA;NA
11;14;NA;NA;NA
12;1;1;2;0
12;2;0;1;1
12;3;0;0;2
12;4;0;0;2
12;5;NA;NA;NA
12;6;NA;NA;NA
12;7;NA;NA;NA
12;8;NA;NA;NA
12;9;NA;NA;NA
