individual;Patch;Species;Period;Site;height_cm;MLL;MLW;LipL;flower_size_mm;spur_length_mm;spur_width_mm;fruit_number;fruit_comments;No_of_flowers;flowers_open;flowers_bud;;Comments;;;sum;no_flowers-sum
1;NA;MJ_lap;late;Kauparve;17;59;8,5;NA;NA;6;2;2;;7;7;0;;MLL:maximum_length_leaf;;;;
2;NA;MJ_lap;late;Kauparve;21;55;7;8;9;11;2,5;2;;6;6;0;;MLW:maximum_width_leaf;;;;
3;NA;MJ_lap;late;Kauparve;24,5;80;9;8;11;12,5;3;2;;8;8;0;;;;;;
4;NA;MJ_lap;late;Kauparve;23;63;7,5;8,5;9;12,5;3,5;2;;8;8;0;;;;;;
5;NA;MJ_lap;late;Kauparve;16,5;65;8;8;11;11;3,5;2;;6;6;0;;No of flowers:all the ones he checked;;;;
6;NA;MJ_lap;late;Kauparve;31;85;10;8,5;10;12,5;3,5;8;;11;11;0;;;;;;
7;NA;MJ_lap;late;Kauparve;23;75;9;7,7;9,5;12;3,5;2;other 2 fruits not developed;5;5;0;;Lip_diameter: change to flower size;;;;
8;NA;MJ_lap;late;Kauparve;20;48;10;NA;NA;8,5;NA;8;;8;8;0;;;;;;
9;NA;MJ_lap;late;Kauparve;29;92;10,5;10;12;14;3,5;4;;8;8;0;;;;;;
10;NA;MJ_lap;late;Kauparve;24,5;65;8;7;9;10,5;3,5;0;;8;8;0;;;;;;
11;NA;MJ_lap;late;Kauparve;19;75;10;8;13;11;3;7;;10;10;0;;;;;;
12;NA;MJ_lap;late;Kauparve;16;75;7,5;7;8;9;3;2;plus a swollen ovary;7;7;0;;;;;;
13;NA;MJ_lap;late;Kauparve;18;75;10;9;11;11;3,5;2;other 2 fruits not developed;6;6;0;;;;;;
14;NA;MJ_lap;late;Kauparve;11,5;30;5,5;6,5;9;9,5;2,5;1;other 3 fruits not developed;4;4;0;;;;;;
15;NA;MJ_lap;late;Kauparve;17;37;7;9,5;10;11,5;3;3;;5;4;1;;;;;;
16;NA;MJ_lap;late;Kauparve;20;75;7,5;8,5;10;11;2,5;5;;7;7;0;;;;;;
17;NA;MJ_lap;late;Kauparve;20,5;75;11;9,5;11;11,5;3,5;7;other 1 fruits not developed;10;10;0;;;;;;
18;NA;MJ_lap;late;Kauparve;25;55;8,5;9;11;11,5;3,5;4;;9;9;0;;;;;;
19;NA;MJ_lap;late;Kauparve;18,5;50;9;9;11;9,5;3;4;other 3 fruits not developed;7;7;0;;;;;;
20;NA;MJ_lap;late;Kauparve;16;35;5,5;7,5;11;11;3;1;other 1 fruits not developed;7;7;0;;;;;;
21;NA;MJ_lap;late;Kauparve;16;70;10;7;0,5;NA;NA;2;;6;6;0;;;;;;
22;NA;MJ_lap;late;Kauparve;12,5;55;14,5;NA;NA;NA;NA;0;;1;1;0;;;;;;
23;NA;MJ_lap;late;Kauparve;15,5;58;7;6,5;10;10;2,5;7;other 1 fruits not developed;8;8;0;;;;;;
24;NA;MJ_lap;late;Kauparve;26;77;8,5;8,5;12,5;13;4;2;other 2 fruits not developed;11;10;1;;;;;;
25;NA;MJ_lap;late;Kauparve;17,5;70;8,5;7,5;9;11;2,5;2;other 1 fruits not developed;6;6;0;;;;;;
26;NA;MJ_lap;late;Kauparve;17;60;7;7,5;11;11,5;3,5;1;;5;5;0;;;;;;
27;NA;MJ_lap;late;Kauparve;20;56;6;6,5;9;9;3;2;;7;7;0;;;;;;
28;NA;MJ_lap;late;Kauparve;19;63;10;7;10,5;11;3;10;other 2 fruits not developed;14;14;0;;;;;;
29;NA;MJ_lap;late;Kauparve;15,5;55;5,5;7;10,5;10;3;0;other 1 fruits not developed;7;7;0;;;;;;
30;NA;MJ_lap;late;Kauparve;13;43;5,5;6;8;9;2,5;0; 5 fruits not developed;6;6;0;;;;;;
31;NA;MJ_lap;late;Kauparve;15,5;53;6,5;6,5;8,5;9,5;3;4;other 2 fruits not developed;6;5;1;;;;;;
32;NA;MJ_lap;late;Kauparve;14;50;8,5;6,5;9;9;2,5;2;other 2 fruits not developed;6;6;0;;;;;;
33;NA;MJ_lap;late;Kauparve;29;85;9;6,5;10;11;3,5;10;;14;14;0;;;;;;
34;NA;MJ_lap;late;Kauparve;12;47;7,5;6,5;7,5;8;2,5;1;;6;6;0;;;;;;
35;NA;MJ_lap;late;Kauparve;21;55;8,5;8;11;10;2,5;5;;7;7;0;;;;;;
36;NA;MJ_lap;late;Kauparve;22;72;6,5;7;8;10;2,5;3;;7;7;0;;;;;;
37;NA;MJ_lap;late;Kauparve;18,5;60;9,5;7,5;11;11;3;6;;9;9;0;;;;;;
38;NA;MJ_lap;late;Kauparve;26,5;80;12;8;11;11;3;5;other 1 fruits not developed;10;10;0;;;;;;
39;NA;MJ_lap;late;Kauparve;27;65;10,5;7;10;10,5;3;3;;9;9;0;;;;;;
40;NA;MJ_lap;late;Kauparve;19;52;8,5;6,5;11;12;3;0;;8;8;0;;;;;;
41;NA;MJ_lap;late;Kauparve;21,5;76;11;7;10;12;3,5;2;;11;11;0;;;;;;
42;NA;MJ_lap;late;Kauparve;18;67;7;7;9;9;2,5;3;;7;7;0;;;;;;
43;NA;MJ_lap;late;Kauparve;19,5;55;8;7;8;NA;NA;3;;8;8;0;;;;;;
44;NA;MJ_lap;late;Kauparve;15,5;59;9,5;7;8,5;9,5;3;4;other 2 fruits not developed;10;9;1;;;;;;
45;NA;MJ_lap;late;Kauparve;15,5;30;8;6;6;8;2,5;5;other 3 fruits not developed;8;6;2;;;;;;
46;NA;MJ_lap;late;Kauparve;14;45;6;7;7,5;10;2;1;other 1 fruits not developed;10;10;0;;;;;;
47;NA;MJ_lap;late;Kauparve;27,5;73;9;9;11;11,5;3;9;other 3 fruits not developed;13;13;0;;;;;;
48;NA;MJ_lap;late;Kauparve;24,5;102;11;8;10,5;10,5;2,5;13;;14;12;2;;;;;;
